,,,,,,
Агент,№(из...),ЛС,Телефон,Регион,Баланс,ИНН
"ООО ""ИНТРАСТПЕЙ""",,20583062,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583063,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583068,,Ханты-Мансийский автономный округ,"5,24",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583069,9222652583,Ханты-Мансийский автономный округ,"-229,62",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583071,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583072,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583075,,Ханты-Мансийский автономный округ,200,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583081,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583082,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583083,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583085,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583089,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583092,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583093,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583095,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583098,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583100,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583106,,Ханты-Мансийский автономный округ,"43,32",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583107,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583111,,Ханты-Мансийский автономный округ,"120,72",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583112,,Ханты-Мансийский автономный округ,"81,77",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583113,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583115,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583116,9292616050,Ханты-Мансийский автономный округ,"-155,32",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583119,9292614566,Ханты-Мансийский автономный округ,"-172,28",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583121,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583122,,Ханты-Мансийский автономный округ,"-37,07",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583128,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583129,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583133,,Ханты-Мансийский автономный округ,"5,52",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583134,,Ханты-Мансийский автономный округ,"46,77",7202210684
